,code,expression,relation
0,N08,lesão de um gânglio basal,ciap_to_text
1,N08,CIAP-2 N08,ciap_to_ciap
2,N08,Movimentos involuntários anormais,ciap_to_ciap_title
3,N08,CID-10 G25.9,ciap_to_cid
4,N08,CID-10 G259,ciap_to_cid
5,N08,CID-10 G25.0,ciap_to_other_cids
6,N08,CID-10 G250,ciap_to_other_cids
7,N08,CID-10 G25.1,ciap_to_other_cids
8,N08,CID-10 G251,ciap_to_other_cids
9,N08,CID-10 G25.2,ciap_to_other_cids
10,N08,CID-10 G252,ciap_to_other_cids
11,N08,CID-10 G25.3,ciap_to_other_cids
12,N08,CID-10 G253,ciap_to_other_cids
13,N08,CID-10 G25.4,ciap_to_other_cids
14,N08,CID-10 G254,ciap_to_other_cids
15,N08,CID-10 G25.5,ciap_to_other_cids
16,N08,CID-10 G255,ciap_to_other_cids
17,N08,CID-10 G25.6,ciap_to_other_cids
18,N08,CID-10 G256,ciap_to_other_cids
19,N08,CID-10 G25.8,ciap_to_other_cids
20,N08,CID-10 G258,ciap_to_other_cids
21,N08,CID-10 G25.9,ciap_to_other_cids
22,N08,CID-10 G259,ciap_to_other_cids
23,N08,CID-10 R25.0,ciap_to_other_cids
24,N08,CID-10 R250,ciap_to_other_cids
25,N08,CID-10 R25.1,ciap_to_other_cids
26,N08,CID-10 R251,ciap_to_other_cids
27,N08,CID-10 R25.3,ciap_to_other_cids
28,N08,CID-10 R253,ciap_to_other_cids
29,N08,CID-10 R25.8,ciap_to_other_cids
30,N08,CID-10 R258,ciap_to_other_cids
31,N08,CID-10 R29.0,ciap_to_other_cids
32,N08,CID-10 R290,ciap_to_other_cids
33,X74,salpingoofarite,ciap_to_text
34,X74,CIAP-2 X74,ciap_to_ciap
35,X74,Doença inflamatória pélvica,ciap_to_ciap_title
36,X74,CID-10 N70.9,ciap_to_cid
37,X74,CID-10 N709,ciap_to_cid
38,X74,CID-10 N70,ciap_to_other_cids
40,X74,CID-10 N71,ciap_to_other_cids
42,X74,CID-10 N73,ciap_to_other_cids
44,X74,CID-10 N74.8,ciap_to_other_cids
45,X74,CID-10 N748,ciap_to_other_cids
46,L99,ruptura de menisco,ciap_to_text
47,L99,CIAP-2 L99,ciap_to_ciap
48,L99,Outra doença do aparelho músculo-esquelético,ciap_to_ciap_title
49,L99,CID-10 M23.3,ciap_to_cid
50,L99,CID-10 M233,ciap_to_cid
51,L99,CID-10 M02,ciap_to_other_cids
53,L99,CID-10 M03,ciap_to_other_cids
55,L99,CID-10 M07,ciap_to_other_cids
57,L99,CID-10 M09,ciap_to_other_cids
59,L99,CID-10 M11,ciap_to_other_cids
61,L99,CID-10 M12,ciap_to_other_cids
63,L99,CID-10 M14,ciap_to_other_cids
65,L99,CID-10 M22.2,ciap_to_other_cids
66,L99,CID-10 M222,ciap_to_other_cids
67,L99,CID-10 M22.3,ciap_to_other_cids
68,L99,CID-10 M223,ciap_to_other_cids
69,L99,CID-10 M22.4,ciap_to_other_cids
70,L99,CID-10 M224,ciap_to_other_cids
71,L99,CID-10 M22.8,ciap_to_other_cids
72,L99,CID-10 M228,ciap_to_other_cids
73,L99,CID-10 M22.9,ciap_to_other_cids
74,L99,CID-10 M229,ciap_to_other_cids
75,L99,CID-10 M23,ciap_to_other_cids
77,L99,CID-10 M24,ciap_to_other_cids
79,L99,CID-10 M25.0,ciap_to_other_cids
80,L99,CID-10 M250,ciap_to_other_cids
81,L99,CID-10 M25.1,ciap_to_other_cids
82,L99,CID-10 M251,ciap_to_other_cids
83,L99,CID-10 M25.2,ciap_to_other_cids
84,L99,CID-10 M252,ciap_to_other_cids
85,L99,CID-10 M25.3,ciap_to_other_cids
86,L99,CID-10 M253,ciap_to_other_cids
87,L99,CID-10 M25.7,ciap_to_other_cids
88,L99,CID-10 M257,ciap_to_other_cids
89,L99,CID-10 M25.8,ciap_to_other_cids
90,L99,CID-10 M258,ciap_to_other_cids
91,L99,CID-10 M25.9,ciap_to_other_cids
92,L99,CID-10 M259,ciap_to_other_cids
93,L99,CID-10 M32,ciap_to_other_cids
95,L99,CID-10 M33,ciap_to_other_cids
97,L99,CID-10 M34,ciap_to_other_cids
99,L99,CID-10 M35,ciap_to_other_cids
101,L99,CID-10 M36,ciap_to_other_cids
103,L99,CID-10 M43.2,ciap_to_other_cids
104,L99,CID-10 M432,ciap_to_other_cids
105,L99,CID-10 M49,ciap_to_other_cids
107,L99,CID-10 M54.1,ciap_to_other_cids
108,L99,CID-10 M541,ciap_to_other_cids
109,L99,CID-10 M61,ciap_to_other_cids
111,L99,CID-10 M62.0,ciap_to_other_cids
112,L99,CID-10 M620,ciap_to_other_cids
113,L99,CID-10 M62.1,ciap_to_other_cids
114,L99,CID-10 M621,ciap_to_other_cids
115,L99,CID-10 M62.2,ciap_to_other_cids
116,L99,CID-10 M622,ciap_to_other_cids
117,L99,CID-10 M62.3,ciap_to_other_cids
118,L99,CID-10 M623,ciap_to_other_cids
119,L99,CID-10 M62.4,ciap_to_other_cids
120,L99,CID-10 M624,ciap_to_other_cids
121,L99,CID-10 M62.5,ciap_to_other_cids
122,L99,CID-10 M625,ciap_to_other_cids
123,L99,CID-10 M62.8,ciap_to_other_cids
124,L99,CID-10 M628,ciap_to_other_cids
125,L99,CID-10 M62.9,ciap_to_other_cids
126,L99,CID-10 M629,ciap_to_other_cids
127,L99,CID-10 M63,ciap_to_other_cids
129,L99,CID-10 M66,ciap_to_other_cids
131,L99,CID-10 M67.0,ciap_to_other_cids
132,L99,CID-10 M670,ciap_to_other_cids
133,L99,CID-10 M67.1,ciap_to_other_cids
134,L99,CID-10 M671,ciap_to_other_cids
135,L99,CID-10 M67.2,ciap_to_other_cids
136,L99,CID-10 M672,ciap_to_other_cids
137,L99,CID-10 M67.8,ciap_to_other_cids
