,code,title
0,-30,Exame médico/avaliação de saúde - completo
1,-31,Exame médico/avaliação de  saúde - parcial
2,-32,Teste de sensibilidade
3,-33,Exame microbiológico/imunológico
4,-34,Análise de sangue
5,-35,Análise de urina
6,-36,Análise de fezes
7,-37,Citologia esfoliativa/histologia
8,-38,Outras análises laboratoriais NE
9,-39,Teste de função física
10,-40,Endoscopia diagnóstica
11,-41,Radiologia diagnóstica
12,-42,Eletrocardiograma
13,-43,Outros procedimentos diagnósticos
14,-44,Vacinação/medicação preventiva
15,-45,Educação em saúde/aconselhamento/dieta
16,-46,Consulta com profissional de APS
17,-47,Consulta com especialista
18,-48,Esclarecimento/discussão do motivo da consulta
19,-49,Outros procedimentos preventivos
20,-50,Medicação/prescrição/renovação/ injeção
21,-51,Incisão/drenagem/aspiração/remoção
22,-52,Excisão /biopsia/remoção/debridamento/cauterização
23,-53,Cateterização/intubação
24,-54,Reparação/sutura/gesso/prótese
25,-55,Injeção local /infiltração
26,-56,Ligadura/compressa /tamponamento
27,-57,Medicina física/reabilitação
28,-58,Aconselhamento/escuta terapêutica
29,-59,Outros procedimentos terapêuticos/pequena cirurgia NE
30,-60,Resultados de análises/procedimentos
31,-61,Contra referência de outro prestador - resultado de exames/teste/ análise
32,-62,Procedimento administrativo
33,-63,Consulta de seguimento não especificada
34,-64,Episódio / problema iniciado pelo prestador
35,-65,Episódio / problema iniciado por outro NE
36,-66,Referenciado a outro prestador /enfermeiro /assistente social/terapeuta
37,-67,Referenciado para médico/especialista/clínica/hospital
38,-68,Outras referenciações NE
39,-69,Outro motivo de consulta NE
40,A01,Dor generalizada /múltipla
41,A02,Arrepios/ calafrios
42,A03,Febre
43,A04,Debilidade/cansaço geral/fadiga
44,A05,Sentir-se doente
45,A06,Desmaio/síncope
46,A07,Coma
47,A08,Inchaço
48,A09,Problemas de sudorese
49,A10,Sangramento/Hemorragia NE
50,A11,Dores torácicas NE
51,A13,Receio/Medo do tratamento
52,A16,Criança irritável
53,A18,Preocupação com aparência
54,A20,Pedido/discussão eutanásia
55,A21,Fator de risco de malignidade
56,A23,Fator de risco NE
57,A25,Medo de morrer/medo da morte
58,A26,Medo de câncer NE
59,A27,Medo de outra doença NE
60,A28,Limitação funcional/incapacidade NE
61,A29,Outros sinais/sintomas gerais
62,A70,Tuberculose
63,A71,Sarampo
64,A72,Varicela
65,A73,Malária
