,query,concluded,relevant_results
0,drepessão recorrente,False,
1,Parestesia ,False,
2,N939,False,
3,adenoma,False,
4,-66,False,
5,Insuficiência cardíaca,False,
6,mordida de cachorro,False,
7,pareste,False,
8,sinais e sintomas quadril,False,
9,vitamina d,False,
10,resultado de cco,False,
11,esteato hepatite ,False,
12,sinais e sintomas nos lábios,False,
13,exame de urina,False,
14,autirmo,False,
15,sinais sintomas da perna,False,
16,A73,False,
17,l16,False,
18,obstrução nasal,False,
19,suspeita de glaucoma,False,
20,sintomas nariz,False,
21,cidm22.2,False,
22,Pele,False,
23,reumato,False,
24,audição,False,
25,maos,False,
26,l13,False,
27,mumps,False,
28,dermatite estase,False,
29,doces,False,
30,insonia,False,
31,derrame pleural,False,
32,S29,False,
33,distúrbio da deglutição,False,
34,ceguera,False,
35,inatividade sexual,False,
36,ance,False,
37,enjoo,False,
38,Gastrta,False,
39,mama masculina,False,
40,transtorno de linguagem,False,
41,mulher brigou com o marido,False,
42,fisioterapia pelvica,False,
43,TRIGLICERIDES ALTO,False,
44,r02,False,
45,uso da tecnologia,False,
46,articular,False,
47,hernia de disco,False,
48,depressivo,False,
49,Uso de PREP,False,
50,nódulo fígado,False,
51,sudorese fria,False,
52,lesao no penis,False,
53,medo de doença ,False,
54,dor interfalagiana proximal,False,
55,perfil lipidico alterado,False,
56,verruga perianal,False,
57,"CID C509 Neoplasia maligna da mama, não especificada",False,
58,medo de sangramento,False,
59,dorsal,False,
60,dor toraxica,False,
61,dor no estômago,False,
62,anosmia,False,
63,assadura,False,
64,HIPOTIREOIDISMO,False,
65,nausea,False,
66,"teve um ""surto""",False,
67,lesão na língua,False,
68,baixa acuidade visual,False,
69,ispesia,False,
70,Sangramento menstrual,False,
71,"Alterações neurológicas da face, como",False,
72,teste molecular,False,
73,complicação cirurgica,False,
74,hérnica incisão,False,
75,Pessoa em situação de rua ,False,
76,adenoma de hipófise,False,
77,ALTERAÇÃO DA VISÃO,False,
78,conjuntivite,False,
79,hipertensão gestação,False,
80,paralisia de bel,False,
81,"tosse e febre, dispneia",False,
82,vista escurece,False,
83,secreção,False,
