query,count
apneia do sono,414
resultado,356
exames,342
DIU,286
dispepsia,282
dislipidemia,233
ansiedade,206
arritmia,206
ejaculação,196
dermatite seborreica,191
blefarite,190
colesterol,188
,187
B12,184
tornozelo,184
disuria,166
refluxo,160
tabaco,158
dor epigastrica,157
perna,149
transtorno bipolar,146
dst,143
pé,139
drogas,137
k30,135
hipertensão,134
fadiga,129
otalgia,125
olho,125
apneia,121
fome,120
lesão em olhos,116
depressão,108
deficiencia vitaminica,107
a98,106
cefaleia,105
alopecia,102
ronco,101
pele,99
joelho,97
resultado de,96
obesidade,93
exame,91
tonturas,90
sensibilidade,90
tosse,88
constipação,87
DOR NO JOELHO,85
filho drogas,85
sono,85
muscular,84
diarreia,84
ouvido,82
vertigem,78
dor perna,75
gengivite,75
menstruação,74
nevos,74
relatorio,74
sinusite bacteriana,73
dor abdominal,71
personalidade,70
dor no cóccix,69
dor no ombro,68
desemprego,66
desconforto respiratorio,63
cansaço,63
Busca a Saúde,62
edema ,60
diabetes,59
dedos,59
gravidez,58
fascite plantar,58
hiperatividade,57
tristeza,57
TDAH,56
consulta com especialista,56
sentir-se mal,56
mancha,55
endometriose,55
sangramento irregular,54
verruga,54
dor no pé,54
diu,53
perda auditiva,52
olho vermelho,51
a11,50
dor lombar,50
dor de barriga,50
renal,49
relacionamento,48
punho,48
garganta,48
sintomas respiratorios,48
exame urina,48
bloqueio de ramo esquerdo,47
dor pé,47
puericultura,45
tireoide,45
foliculite,44
papanicolau,43
pirose,43
febre,43
infecção urinária,43
ferimento,43
hipotireoidismo,43
lombar,42
problemas alimentares,42
umbigo,42
ferida,41
polipo do colon,40
w03,40
roncos,40
insonia,39
nodulo em mama,39
edema,39
sangramento,38
atestado,38
vulva,38
dor,38
libido,38
tontura,38
aborto,37
uretrite,37
APNEIA DO SONO,37
sexo,37
pés,36
sintomas psicológicos,36
questão sobre gravidez,36
medo de doença endocrino,36
dor de cabeça,35
colesterol alto,35
dismenorreia ,35
dor na relação sexual,35
insuficiencia venosa,34
fasciite plantar,34
desmaio,34
escola,34
autismo,33
bipolar,32
diabetes gestacional,32
dorsalgia,32
polipo intestinal,32
pre natal,32
dor toracica,32
dor no peito,32
mal estar,31
orelha,31
queimação,31
excesso de peso,31
prurido,31
impulsos sexuais ,31
miopia,31
glicose,30
queda,30
nodulo mama,30
Dor de cabeça,30
ombro,30
pescoço,29
nariz,29
queda de cabelo,29
dor ,29
articular,29
diabetes insulino dependente,29
sudorese,29
cisto sinovial,28
dor nas costas,28
furunculo,28
varicocele,28
menopausa,28
amamentação,28
resultado de exame,28
hemorroida,28
varizes,28
secreção,27
tabagismo,27
bruxismo,27
leucopenia,27
hipertensão arterial,27
corrimento vaginal,27
Dor,26
gestação,26
lombalgia,26
mama,26
onicomicose,26
receita,26
prescrição,26
nódulo mama,25
uva,25
a26,25
exame alterado,25
hiv,25
anemia,25
luto,25
dpoc,25
dor no dedo,25
pressão ,25
asma,24
osteopenia,24
atenção,23
rotina,23
dor muscular,23
Violento,23
retenção de liquido,23
erupção cut,23
consulta pre-natal,23
dificuldade de concentração,22
rinite,22
QUESTÃO DE APRENDIZAGEM,22
gastrite,22
anal,22
dor de garganta,22
gastroplastia,22
picadas,22
tremor,22
atraso menstrual,22
dispneia,22
quadril,22
esclerose,22
urina,22
hipertrigliceridemia,21
ovarios policisticos,21
cisto,21
dor torácica,21
colica biliar,21
encaminhamento,21
dispareunia,21
otite media aguda,21
medicamento,21
dor em quadril,20
dor articular,20
lactose,20
artropatia psoriásica,20
nódulo tireoide,20
cólica,20
zumbido,20
nodulo,20
b12,19
dor barriga,19
covid,19
Cefaleia,19
medo,19
fator de risco,19
consulta,19
compulsão alimentar,19
planejamento familiar,19
fibromialgia,18
doença arterial coronariana,18
kawasaki,18
hipertrofia tonsila,18
dor no joelho,18
crohn,18
sangramento vaginal,18
cistite,18
cisto renal,18
vacina,18
estresse,18
a05,18
ganho de peso,18
sinusite,18
anciedade,18
Tosse,17
problema com marido,17
dor de ouvido,17
medo de doença,17
gripe,17
l04,17
Dispepsia,17
alergia,17
acne,16
intolerancia a lactose,16
ic,16
dismenorreia,16
fraqueza,16
a85,16
A98,16
cabeça,16
ganglios,16
dermatofitose,16
imagem corporal,16
trauma,16
lavagem de ouvido,16
vaginose,16
d,16
rinorreia,16
epigastralgia,16
enxaqueca,16
psicologicos,16
palpitação,16
ffffffffff,16
mialgia,15
hemorroidas,15
eczema,15
Hiperglicemia,15
pernas,15
artrose,15
unha,15
dor em punho,15
GRAVIDEZ,15
polipo colon,15
rouquidão,15
EXAME,15
a46,15
-30,15
lupus,15
dor anal,15
-67,15
amigdalite,15
rastreamento,15
CORAÇÃO,15
-45,15
dor de barriga ,14
vitamina d,14
l08,14
cirurgia,14
mão,14
X29,14
violencia,14
dedo gatilho,14
amenorreia,14
barriga,14
tdah,14
violencia no trabalho,14
parestesia,14
ferritina,14
hemorragia vaginal,14
dor em pescoço,14
Ombro,14
cabelo,14
hordéolo,14
coluna,14
cervicalgia,14
Especialista,14
resfriado,14
doenca de fabry,14
atestado ,13
MAMAS,13
imagem,13
w14,13
anus,13
dor em joelho,13
micose,13
transtorno obsessivo,13
dores abdominais,13
pneumonia,13
Febre,13
corrimento,13
formigamento,13
nodulo tireoide,13
joanete,13
trabalho,13
Pele,13
dedo,13
Neuroma de Morton,13
miliaria,13
PELE,13
memória,13
prematuridade,13
herpes genital,13
HIPOTIREOIDISMO,13
magreza,13
osteoporose,13
cigarro,13
psicológicos,13
calcanhar,12
hematoma,12
hepatite por medicamento,12
contracepção,12
memoria,12
massa pulmonar detectada em diagnóstico por imagem,12
colicas,12
unha encravada,12
abdominal pain,12
refluxo gastroesofágico,12
calcaneo,12
disidrose,12
cerume,12
l05,12
cisto rim,12
avc,12
l11,12
resultado de exames,12
priapismo,12
colelitiase,12
tremores,12
obstrução nasal,12
desvio de septo,12
candidiase,11
criptorquidia,11
abdominal,11
doença renal cronica,11
parto,11
dor em ombro,11
acidente,11
coccix dor,11
deficiencia de ferro,11
surdez,11
especialista,11
a23,11
transtorno alimentar,11
- ADMINI,11
fratura de vertebra,11
escoliose,11
contusão,11
sobrecarga atrial,11
herpes,11
p01,11
OBESIDADE,11
cancer,11
exames de rotina,11
depressivo,11
reumatolo,11
Obesidade,11
sangramento uterino,11
escuta,11
impotencia,11
Ereção,11
dor peitoral,11
dor no estômago,11
Gravidez,11
implanon,11
perfuracao timpano,11
ressecamento vaginal,11
puberdade precoce,10
corpo,10
queratose pilar,10
alteração de exame,10
Dor miofascial,10
epistaxe,10
comportamento criança,10
nausea,10
renovação de receita,10
visão,10
quervain,10
polipo endometrio,10
corpo estranho,10
alimentação,10
desejo de engravidar,10
artrite,10
TRANSTORNO BIPOLAR,10
dupuytren,10
RINITE,10
sangramento retal,10
adulto,10
Dor abdominal ,10
lesão de pele,10
mielomeningocele,10
has,10
adaptação,10
sangramento anal,10
hiperglicemia,10
doença renal crônica,10
ejaculação precoce,10
dedo pé,10
afta,10
menstruação excessiva,10
alteração urina,10
criança,10
notalgia,10
feedback exame,10
vesicula,10
sobrepeso,10
nefrolitiase,10
ressecamento fezes,10
a97,10
micobacteria,10
Doença de Crohn ,10
hipotiroidismo,10
vitamina,10
esteatose,9
dor pélvica,9
efluvio,9
taquicardia,9
dor na perna,9
sifilis,9
vasectomia,9
gonorreia,9
neuralgia pós-herpética,9
sinais e sintomas dos olhos,9
baixo peso,9
fratura pé talus,9
psoas,9
lesao em pele,9
hipoglicemia reativa,9
nódulo,9
hipertensao,9
procedimento,9
ivas,9
gineco consulta,9
dor cervical,9
lipidos,9
dor joelho,9
sangramento ,9
MAMA,9
metabolismo,9
hipertensão gestacao,9
linfonodo,9
Hipotireoidismo,9
contraindicado,9
entorse tornozelo,9
linfedema,9
dúvida,9
Busca,9
s29,9
puerperio,9
administrativo,9
w12,9
acuidade auditiva,9
disúria,9
dedo do pé,9
corte,9
x11,9
menopausa precoce,9
dor na relação sexuak,8
ocupacional,8
puerpério,8
mamas,8
choro,8
queda ,8
congestão nasal,8
PERDA AUDITIVA,8
artrose mão,8
pelvica ,8
pielonefrite aguda,8
hidradenite supurativa,8
sonolencia,8
french,8
gordura no figado,8
emagrecimento,8
refração,8
hérnia incisional,8
hipermenorreia,8
r74,8
questão relacionada ao trabalho,8
soluços,8
bexiga hiperativa,8
s08,8
obsessivo,8
fibroadenoma,8
olho seco,8
Dor de cabeça ,8
l12,8
n01,8
dor nas pernas,8
tunel do carpo,8
Hipertensão ,8
coriza,8
borderline,8
depressão ,8
Fimose,8
hematoquesia,8
vacinação,8
ideação suicida,8
prurido vulvar,8
doença inflamatória pelvica,8
glicemia,8
pressão arterial,8
poliuria,8
exame de rotina,8
profilaxia,8
sedentarismo,8
violencia domestica,8
tireoide congênito,8
melasma,8
Uso de drogas,8
entorse do tornozelo,8
cansaco,8
conjugal,8
nausea na gestação,8
cervical,8
inserção de diu,8
desanimo,8
septo,8
rinofima,8
tosse e febre,8
estenose ureter,8
VAGINA,8
BRAÇO,8
asdf,8
reação vacinal,8
hematuria,7
agulhamento seco ,7
Dengue,7
irritabilidade,7
piolho,7
soluço,7
inflamação em pele,7
ponte miocardio,7
-66,7
atestado médico,7
erupção,7
pre-eclampsia,7
ânus,7
burnout,7
coleta de papanicolau,7
olhos,7
infecção urinaria,7
tendinite,7
ceratocone,7
sangramento uterino gestação,7
esquecimento,7
crescimento,7
dedo em gatilho,7
queimadura,7
fratura cotovelo,7
familia,7
Gastrite,7
Corte,7
drepessão recorrente,7
DOR NA RELAÇAO SEXUAL,7
sangue nas fezes,7
insuficiencia cardiaca,7
neoplasia tireoide,7
baixa estatura,7
"tosse, febre",7
deficiência vitamínica,7
pneumonia ,7
cisto ovario,7
busca ativa,7
incontinencia urinaria,7
trombose venosa,7
Violencia,7
ruptura bíceps,7
hérnia de disco,7
pressão alta,7
lipidios,7
pólipo endometrio,7
hipogonadismo,7
precordialgia,7
Etilismo,7
manchas na pele,7
braço,7
óculos,7
dpoc asma,7
pênis,7
trombose,7
álcool,7
medo de doença ,7
Diabetes ,7
raynaud,7
secreção vaginal,7
flebite e tromboflebite,7
procedimento administrativo,7
dor pelvica,7
dor na lombar,7
cefaleia tensional,7
nodulo de tireoide,7
Exame,7
agulhamento seco,7
MIOPIA,7
fasciite,7
Endometriose,7
Dor no peito,7
disfagia,7
espondilite anquilosante,7
dor cronica,7
COTOVELO,7
DEPRESSÃO,7
ouvido tampado,7
dependência emocional,7
couro cabeludo,7
dislipid,7
bronquiolite,7
sintomas urinarios,7
lordose,7
I10,7
nutricionista,7
dor miofascial,7
trissomia 21,7
agulhamento,7
palpebras,7
palpitações,7
hipercolesterolemia,7
esofagite,7
assadura,6
Trauma,6
colica,6
dor ao fazer o número dois,6
Tristeza ,6
nauseas,6
azia,6
fotofobia,6
puberdade,6
BAIXA LIBIDO,6
pigarro,6
lavagem otologica,6
insônia,6
g-6-pd,6
sexual,6
marcapasso,6
administra,6
l09,6
urticaria cronica,6
gastroenterite,6
caibras,6
falecimento,6
Ansiedade,6
filoide,6
nevo,6
alteração da textura da pele,6
coração,6
Dor de barriga,6
vomito,6
istmocele,6
Tabagismo,6
disfonia tabagismo,6
adenoma adrenal,6
check up,6
cistos ovários,6
interconsulta,6
bariátrica,6
picada de inseto,6
testiculo retratil,6
verruga vulgar,6
linfonodos aumentados,6
fimose,6
pré diabetes,6
nódulo mamário,6
tendinite ombro,6
IVAS,6
fibroma mole,6
infeccao via aerea,6
Nódulo tireoide,6
OCULOS,6
fezes,6
suicidio,6
pielonefrite,6
infecção de pele,6
fertilidade,6
liquen plano,6
dor coccix,6
emocional,6
espodiloartrose,6
peso,6
mioma,6
sangramento pos menopausa,6
acrocórdon,6
tpm,6
-31,6
efeito colateral,6
litiase biliar,6
cistinuria,6
Medo,6
polipo estomago,6
exame ginecologico,6
dor pernas,6
nadega,6
neoplasia mama,6
pedra no rim,6
galactorreia,6
doente ,6
candid,6
menstruação irregular,6
Corrimento,6
prurido vaginal,6
náusea,6
metab,6
HIPERCOLESTEROLEMIA ,6
frieira,6
-50,6
hemoglobinuria paroxistica noturna,6
hipotensao,6
rim,6
cognição ,6
dificuldade de atenção,6
sonolência,6
psoriase,6
enjoo,6
atividade física,6
hashimoto,5
Dor abdominal,5
deficiencia auditiva,5
sem doença,5
DOR,5
corrimento ,5
iam,5
a91,5
Neoplasia maligna laringe,5
n95,5
vaginal,5
nódulo pulmonar,5
Doença de Chron,5
face,5
dor tornozelo,5
dormencia,5
lesão,5
dores generalizadas,5
aumento da glicemia,5
adesão,5
testiculo,5
D01,5
-41,5
pé plano,5
irregularidade menstrual,5
anemia ferropriva,5
candidíase,5
f100,5
dor de cabeca,5
deficiencia vitamina,5
sinais e sintomas de olho,5
colite,5
prolactinoma,5
monitoramento,5
solidão,5
trombose venosa profunda,5
divorcio,5
deficit de atenção,5
transtorno mental a esclarecer,5
polipo vesicula,5
bloqueio de ramo esquerdo],5
anticoncepção,5
dor no braço,5
reumatismo,5
hipotensão,5
l03,5
abuso sexual,5
verminose,5
regurgitação,5
voz,5
visão turva,5
orientação,5
neoplasia maligna mama,5
fissura anal,5
cicatriz,5
emissão de atestado,5
tremor intencional,5
drc,5
pós parto,5
vômito,5
s02,5
falta de ar,5
lavagem otológica,5
obstrucao nasal,5
-47,5
dor na coluna,5
pós operatório,5
erupção dentária,5
comportamento,5
-58,5
pressão,5
efeito adverso,5
neoplasia maligna de próstata,5
dor ao fazer o número 2,5
Nervoso,5
adenoma de hipofisario,5
mononeuropatia,5
depressão pós-parto,5
abuso de analgésicos,5
mostrar exame,5
dengue,5
l07,5
dor em tornozelo,5
exame anormal,5
broncoespasmo,5
renovação,5
trombose arterial,5
deficit de atencao,5
odinofagia,5
glicemia alterada,5
terçol,5
alzheimer,5
retocolite ulcerativa,5
esporao,5
hepatite,5
resultados de exame,5
Diabetes,5
lavagem ouvido cerume remoção retirada,5
sintomas urinários,5
A85,5
engasgo,5
33,5
dor abdominal localizada,5
i456,5
boca,5
hepatite medicamentosa,5
alteração exame,5
dermatite,5
-33,5
atm,5
articulação,5
cotovelo,5
infecção urinária de repetição,5
adenocarcinoma tireoide,5
incontinência urinária,5
a30,5
H29,5
língua,5
abcesso,5
artrose coluna,5
hérnia hiatal,5
compulsivo,5
sangramento uterino anormal,5
linfonodomegalia,5
papanicolau alterado,5
hpv,5
lesão cotovelo,5
litiase renal,5
reprodução,5
sjogren,5
cistite intersticial,5
hipertireoidismo,5
dor nos pés,5
-51,5
leucodermia solar,5
edema mmii,5
IDEAÇÃO SUICIDA,5
OUVIDO,5
vagina,5
trans,5
infecção,5
inchaço,5
gravidez alto risco,5
polipo biliar,5
ginecomastia,5
sangue  anal ,5
cisto no ovário,5
rim unico,5
gastralgia,5
fisioterapeuta,5
Tireoide,5
R83,5
insuficiencia ovariana,5
sequela,5
entorse,5
Dermatite,5
cisto ovariano,5
cisto pele,5
concentração,5
dor crônica,5
R74,4
-52,4
ulcera,4
d11,4
pinta,4
Relatorio medico,4
D06,4
sinais e sintomas dos pés,4
Bartholinite,4
a45,4
retal,4
Uretrite,4
Sangramento menstrual,4
déficit de visão,4
coceira,4
QUEDA,4
SÍFILIS,4
nódulo fígado,4
coccix,4
dor em mama,4
artralgia cotovelo,4
nodulo mamario,4
dor no ouvido,4
A46,4
pterigio,4
sinais e sintomas da vulva,4
artrose mãos,4
agulhamento ,4
deficit atenção,4
ATENDIMENTO NUTRICIONAL,4
L12,4
astenia,4
z29,4
f04,4
cegueira,4
estrabismo,4
prurido anal,4
x72,4
Herpes genital,4
Tontura,4
transtorno afetivo bipolar,4
dor na relação,4
LOMBALGIA,4
cicatrização,4
exame geral,4
trombose veia cerebral,4
hematoquezia,4
hérnia paraesofagica,4
Informações,4
dente,4
pré-operatório,4
SINTOMAS DOS OLHOS,4
dor lombar ,4
sintomas respiratórios,4
hipocondria,4
sinais e sintomas da pele,4
virilha,4
agitação,4
distrofia,4
acumulação,4
DIU inserção ,4
d01,4
fratura antebraço,4
trombose venosa ,4
rastreamento colo útero resultado,4
Diarreia,4
b02,4
manchas,4
neuropatia periferica,4
pré-menstrual,4
disautonomia,4
ANSIEDADE,4
a,4
temporo-mandibular,4
temperatura,4
cuidado,4
COLUNA,4
k22,4
l06,4
depressao,4
fogacho,4
bartholinite,4
baixa acuidade visual,4
otite,4
Cólica,4
labio,4
r02,4
Diarreia crônica ,4
Alzheimer,4
a87,4
desconforto abdominal,4
artrose tornozelo,4
hérnia parede abdominal,4
perda de peso,4
muco,4
intestino irritavel,4
pé diabético,4
dor na mão,4
l80,4
Conjuntivite,4
Dislipidemia,4
virose,4
faringite recorrente,4
nódulo adrenal,4
dorsal,4
desmame,4
a600,4
hepatite b ,4
-49,4
esteatose hepática,4
tosse seca,4
l10,4
xantelasma,4
infiltracao joelho,4
PLANEJAMENTO FAMILIAR,4
ferida operatória,4
aconselhamento,4
Exames,4
